Subfield,Piecewise Linear Function,Bin_1,Bin_2,Bin_3,Bin_4,Bin_5,Bin_6,Bin_7,Bin_8,Slope_1,Intercept_1,Slope_2,Intercept_2,Slope_3,Intercept_3,Slope_4,Intercept_4,Slope_5,Intercept_5,Slope_6,Intercept_6,Slope_7,Intercept_7,Slope_8,Intercept_8,Total Calculated RSC,Total RSC (Ground Truth),Average RSC per Citation
Public_Administration,"Piecewise Linear Function:
Bin 1 [1,3]: log10(RSC) = 0.2839 * log10(Citations) + 0.4076
Bin 2 [3,8]: log10(RSC) = 0.5690 * log10(Citations) + 0.2774
Bin 3 [8,23]: log10(RSC) = 0.9128 * log10(Citations) + -0.0364
Bin 4 [23,48]: log10(RSC) = 1.4569 * log10(Citations) + -0.7567
Bin 5 [48,111]: log10(RSC) = 1.7130 * log10(Citations) + -1.1989
Bin 6 [111,301]: log10(RSC) = 1.2068 * log10(Citations) + -0.0805
Bin 7 [301,301]: log10(RSC) = 0.0000 * log10(Citations) + 3.0174
Bin 8 [301,301]: log10(RSC) = 0.0000 * log10(Citations) + 3.0174
","[1,3]","[3,8]","[8,23]","[23,48]","[48,111]","[111,301]","[301,301]","[301,301]",0.283908040717118,0.40762733579684907,0.5689511398590623,0.27735854136455135,0.9127881343401788,-0.036437154777995584,1.4569039764516947,-0.7567369336051388,1.7129593807446017,-1.1989190702393033,1.206838069786987,-0.08050376648195146,0,3.017364077103606,0,3.017364077103606,50041.162223742795,50041.16222372917,1.0590722163755089
Public_Health_Environmental_and_Occupational_Health,"Piecewise Linear Function:
Bin 1 [1,3]: log10(RSC) = 0.2428 * log10(Citations) + 0.4401
Bin 2 [3,10]: log10(RSC) = 0.5467 * log10(Citations) + 0.2778
Bin 3 [10,28]: log10(RSC) = 0.9524 * log10(Citations) + -0.1294
Bin 4 [28,70]: log10(RSC) = 1.2068 * log10(Citations) + -0.4823
Bin 5 [70,245]: log10(RSC) = 1.2607 * log10(Citations) + -0.5819
Bin 6 [245,709]: log10(RSC) = 1.5099 * log10(Citations) + -1.1770
Bin 7 [709,1044]: log10(RSC) = 1.0070 * log10(Citations) + 0.2806
Bin 8 [1044,5155]: log10(RSC) = 1.0184 * log10(Citations) + 0.3371
","[1,3]","[3,10]","[10,28]","[28,70]","[70,245]","[245,709]","[709,1044]","[1044,5155]",0.2428370004962258,0.4400677840866872,0.5467116085369892,0.27780176785052635,0.9524170969912492,-0.12936618219861273,1.206772780671963,-0.4823423615791922,1.2606574432679531,-0.5818784913136761,1.5099387225746943,-1.17704213170658,1.0070162503238946,0.2806248858417577,1.0184119177805517,0.3370897640643564,1483579.4608771713,1483579.4608775945,0.9120991671828934
Pulmonary_and_Respiratory_Medicine,"Piecewise Linear Function:
Bin 1 [1,4]: log10(RSC) = 0.2378 * log10(Citations) + 0.4637
Bin 2 [4,11]: log10(RSC) = 0.5395 * log10(Citations) + 0.2972
Bin 3 [11,32]: log10(RSC) = 0.8872 * log10(Citations) + -0.0595
Bin 4 [32,92]: log10(RSC) = 1.0692 * log10(Citations) + -0.3250
Bin 5 [92,390]: log10(RSC) = 1.0880 * log10(Citations) + -0.3620
Bin 6 [390,1332]: log10(RSC) = 1.2557 * log10(Citations) + -0.8027
Bin 7 [1332,1752]: log10(RSC) = 1.4120 * log10(Citations) + -1.2499
Bin 8 [1752,7823]: log10(RSC) = 1.1220 * log10(Citations) + -0.1558
","[1,4]","[4,11]","[11,32]","[32,92]","[92,390]","[390,1332]","[1332,1752]","[1752,7823]",0.2378285819218607,0.463737791195577,0.5394525039409181,0.2972413664594063,0.8871680978933347,-0.05949520477525572,1.0692334590681876,-0.3250015752380879,1.088024360470912,-0.3619620401482262,1.255665699871247,-0.8027259580186832,1.4120067998201846,-1.249916773147405,1.1219501179713052,-0.15582984530913402,1769346.8463229393,1769346.846310628,0.8216530454053983
Radiation,"Piecewise Linear Function:
Bin 1 [1,3]: log10(RSC) = 0.2738 * log10(Citations) + 0.3793
Bin 2 [3,8]: log10(RSC) = 0.6070 * log10(Citations) + 0.2196
Bin 3 [8,21]: log10(RSC) = 1.0197 * log10(Citations) + -0.1498
Bin 4 [21,48]: log10(RSC) = 1.3156 * log10(Citations) + -0.5280
Bin 5 [48,129]: log10(RSC) = 1.5495 * log10(Citations) + -0.9319
Bin 6 [129,382]: log10(RSC) = 1.5564 * log10(Citations) + -0.9006
Bin 7 [382,654]: log10(RSC) = 0.9024 * log10(Citations) + 0.7476
Bin 8 [654,654]: log10(RSC) = 0.0000 * log10(Citations) + 3.2884
","[1,3]","[3,8]","[8,21]","[21,48]","[48,129]","[129,382]","[382,654]","[654,654]",0.27382864081499575,0.37932868610167286,0.6070405137853713,0.21956388944325728,1.0197385819186755,-0.1497557481376932,1.3156038715249159,-0.5280098464785667,1.5495213030073824,-0.9319128512904504,1.556438063983955,-0.900569147622496,0.9023897889309841,0.7476110531978524,0,3.288359663226963,126916.09883594651,126916.0988360105,1.0350611973539274
Radiological_and_Ultrasound_Technology,"Piecewise Linear Function:
Bin 1 [1,3]: log10(RSC) = 0.2600 * log10(Citations) + 0.4173
Bin 2 [3,10]: log10(RSC) = 0.5371 * log10(Citations) + 0.2777
Bin 3 [10,26]: log10(RSC) = 0.9286 * log10(Citations) + -0.0982
Bin 4 [26,59]: log10(RSC) = 1.3457 * log10(Citations) + -0.6756
Bin 5 [59,149]: log10(RSC) = 1.7049 * log10(Citations) + -1.3209
Bin 6 [149,234]: log10(RSC) = 2.4823 * log10(Citations) + -2.9929
Bin 7 [234,258]: log10(RSC) = 4.9694 * log10(Citations) + -8.7281
Bin 8 [258,258]: log10(RSC) = 0.0000 * log10(Citations) + 3.2561
","[1,3]","[3,10]","[10,26]","[26,59]","[59,149]","[149,234]","[234,258]","[258,258]",0.25996150240860555,0.4173466462219433,0.5370950178447049,0.27772249023021345,0.9285657731397,-0.09823238024838599,1.3457099359681755,-0.6756498730503515,1.7048974575065492,-1.3208601247417433,2.4823333439986817,-2.9928543862329775,4.969383774234001,-8.72812244223538,0,3.2561413942012676,108546.95334890985,108546.95334893095,0.9572717065481678
Radiology_Nuclear_Medicine_and_Imaging,"Piecewise Linear Function:
Bin 1 [1,4]: log10(RSC) = 0.2346 * log10(Citations) + 0.4615
Bin 2 [4,12]: log10(RSC) = 0.5320 * log10(Citations) + 0.2922
Bin 3 [12,34]: log10(RSC) = 0.8836 * log10(Citations) + -0.0781
Bin 4 [34,89]: log10(RSC) = 1.1550 * log10(Citations) + -0.4835
Bin 5 [89,370]: log10(RSC) = 1.1103 * log10(Citations) + -0.3853
Bin 6 [370,1547]: log10(RSC) = 1.0669 * log10(Citations) + -0.2714
Bin 7 [1547,1979]: log10(RSC) = 1.7636 * log10(Citations) + -2.4489
Bin 8 [1979,4559]: log10(RSC) = 1.5826 * log10(Citations) + -1.8073
","[1,4]","[4,12]","[12,34]","[34,89]","[89,370]","[370,1547]","[1547,1979]","[1979,4559]",0.23464736219909654,0.4615293738429277,0.5319727200525741,0.29222790892082084,0.8835662998247559,-0.07814323759874386,1.1549919626601932,-0.48350536141595724,1.110307713367542,-0.38529896067408,1.066890364481195,-0.2713674486490567,1.763637757488751,-2.448942846994011,1.5826140500805315,-1.8073353503596672,991369.7957956321,991369.7957937368,0.793645674359702
Religious_studies,"Piecewise Linear Function:
Bin 1 [1,1]: log10(RSC) = 0.0000 * log10(Citations) + 0.9717
Bin 2 [1,2]: log10(RSC) = 0.7458 * log10(Citations) + 0.9717
Bin 3 [2,6]: log10(RSC) = 0.8944 * log10(Citations) + 0.9231
Bin 4 [6,17]: log10(RSC) = 0.8804 * log10(Citations) + 0.9156
Bin 5 [17,60]: log10(RSC) = 1.2378 * log10(Citations) + 0.5415
Bin 6 [60,196]: log10(RSC) = 0.8495 * log10(Citations) + 1.2770
Bin 7 [196,196]: log10(RSC) = 0.0000 * log10(Citations) + 3.3339
Bin 8 [196,196]: log10(RSC) = 0.0000 * log10(Citations) + 3.3339
","[1,1]","[1,2]","[2,6]","[6,17]","[17,60]","[60,196]","[196,196]","[196,196]",0,0.9716816213641534,0.7457829682858449,0.9716816213641538,0.8944179714076786,0.9230840289392513,0.8804140116458976,0.9155727538422891,1.237847953117147,0.5414618169814016,0.8495155709461681,1.2769719995811195,0,3.3338771638700893,0,3.3338771638700893,118429.07746960044,118429.07746963295,7.975559126513599
Renewable_Energy_Sustainability_and_the_Environment,"Piecewise Linear Function:
Bin 1 [1,8]: log10(RSC) = 0.1722 * log10(Citations) + 0.5394
Bin 2 [8,26]: log10(RSC) = 0.5416 * log10(Citations) + 0.2114
Bin 3 [26,72]: log10(RSC) = 0.9483 * log10(Citations) + -0.3599
Bin 4 [72,166]: log10(RSC) = 1.3358 * log10(Citations) + -1.0709
Bin 5 [166,397]: log10(RSC) = 1.7872 * log10(Citations) + -2.0714
Bin 6 [397,796]: log10(RSC) = 2.3221 * log10(Citations) + -3.4182
Bin 7 [796,974]: log10(RSC) = 2.4087 * log10(Citations) + -3.6717
Bin 8 [974,2220]: log10(RSC) = 1.6895 * log10(Citations) + -1.4883
","[1,8]","[8,26]","[26,72]","[72,166]","[166,397]","[397,796]","[796,974]","[974,2220]",0.17222923956124325,0.5393908754016785,0.5415555533569973,0.2113503163899274,0.948307579365675,-0.3599108638748172,1.3357520872995934,-1.0709233067907553,1.7872298034845806,-2.0714036649221477,2.3221101515755795,-3.4181685561789936,2.4086635018838787,-3.671734022735558,1.6894731832983814,-1.488256736194303,1625907.918892348,1625907.9188937566,0.5453234088105735
Reproductive_Medicine,"Piecewise Linear Function:
Bin 1 [1,4]: log10(RSC) = 0.2362 * log10(Citations) + 0.4347
Bin 2 [4,11]: log10(RSC) = 0.5571 * log10(Citations) + 0.2526
Bin 3 [11,28]: log10(RSC) = 1.0002 * log10(Citations) + -0.2041
Bin 4 [28,66]: log10(RSC) = 1.3070 * log10(Citations) + -0.6391
Bin 5 [66,221]: log10(RSC) = 1.3125 * log10(Citations) + -0.6364
Bin 6 [221,457]: log10(RSC) = 1.9689 * log10(Citations) + -2.1697
Bin 7 [457,646]: log10(RSC) = 1.3255 * log10(Citations) + -0.4110
Bin 8 [646,1002]: log10(RSC) = 1.1054 * log10(Citations) + 0.2023
","[1,4]","[4,11]","[11,28]","[28,66]","[66,221]","[221,457]","[457,646]","[646,1002]",0.23615520210451282,0.43474316019154025,0.5570559175270173,0.25255369030214564,1.000193140322815,-0.2040784876162698,1.3069728660410325,-0.6390725785825675,1.3124618656360763,-0.6364402096228188,1.9688789200056334,-2.1697294902149755,1.3255002128837263,-0.41095650977700515,1.1053624569652791,0.20228101478186034,252241.29009301742,252241.2900928061,0.8962142393481568
Research_and_Theory,"Piecewise Linear Function:
Bin 1 [1,4]: log10(RSC) = 0.2299 * log10(Citations) + 0.3893
Bin 2 [4,12]: log10(RSC) = 0.5932 * log10(Citations) + 0.1733
Bin 3 [12,31]: log10(RSC) = 0.9332 * log10(Citations) + -0.1683
Bin 4 [31,64]: log10(RSC) = 1.6619 * log10(Citations) + -1.2365
Bin 5 [64,175]: log10(RSC) = 1.4056 * log10(Citations) + -0.7847
Bin 6 [175,501]: log10(RSC) = 0.4613 * log10(Citations) + 1.2570
Bin 7 [501,501]: log10(RSC) = 0.0000 * log10(Citations) + 2.5024
Bin 8 [501,501]: log10(RSC) = 0.0000 * log10(Citations) + 2.5024
","[1,4]","[4,12]","[12,31]","[31,64]","[64,175]","[175,501]","[501,501]","[501,501]",0.22993760514677705,0.38930728166088685,0.5931839758195668,0.17328442845355096,0.9331503048480775,-0.16833720059483237,1.6618748125795593,-1.236493426094542,1.4055920860531583,-0.7846834825028073,0.4612984804744385,1.2569519546173924,0,2.5023829950875163,0,2.5023829950875163,8581.668141166489,8581.66814116653,0.7578970362241887
